"";"nIter";"error"
"1";10;0,194170995670996
"2";20;0,184517316017316
"3";30;0,161787878787879
"4";40;0,141270562770563
"5";50;0,147800865800866
"6";60;0,152880952380952
"7";70;0,14712987012987
"8";80;0,152551948051948
"9";90;0,122357142857143
"10";100;0,135339826839827
"11";110;0,1345
"12";120;0,137365800865801
